24.75,22.75,23.25,22.5,28.25,32.43
5.29,4.64,4.5,4.71,3.93,2.63
32.41,26.72,26.9,27.41,32.41,38.61
39.77,39.32,39.55,36.02,43.64,45.06
14.05,12.38,13.33,12.86,17.14,17.12
15.18,14.1,14.68,14.1,16.47,13.84
21.26,20.1,20.19,20.68,28.83,22.2
28.89,22.59,25.19,25.19,21.11,26.67
26.61,24.68,23.55,22.9,26.77,42.31
14.69,16.56,15,14.69,21.56,26.9
6.06,6.34,5.21,5.07,10.02,6.76
27.93,17.25,17.31,19.38,18.5,18.19
16.82,15,14.55,14.55,24.24,10.19
8.65,8.33,8.65,8.54,9.58,9.37
16.59,15.28,15.66,15.41,20.87,22.75
15.52,15.08,14.43,14.75,17.05,19.02
3.23,3.15,3.37,3.21,21.63,27.58
8.25,13,10,11.75,12.25,9.87
28.25,26.36,26.56,27.21,26.75,28.24
25.14,25.95,26.22,28.11,29.46,49.57
1.71,1.54,1.72,1.68,2.11,1.47
27.06,20,20.59,21.76,28.82,24.01
33.17,35.25,35.97,34.68,32.59,47.14
28.01,27.26,26.62,27.76,27.86,32.11
23.45,20,21.09,21.45,17.45,18.05
27.94,26.6,26.8,27.23,27.1,29.85
16.03,15.4,15.4,14.6,19.68,17.13
